# device: Tesla T4
# sms: 40
# mem_clock_mhz: 5001
# omp_threads: 2
# methodology: 10 warmup + 100 timed runs, medians; gpu_kernel_ms via cudaEvent (kernel only), gpu_wall_ms via std::chrono incl. H2D+D2H; *_batch100 rows are per-image over a 100-image batch (CPU batch paths: 1 warmup + 5 timed runs)
op,resolution,cpu_1t_ms,omp_ms,gpu_kernel_ms,gpu_wall_ms,speedup_vs_1t,speedup_vs_omp
rgb_to_gray,256x256,0.253748,0.204715,0.008160,0.102620,31.10,25.09
rgb_to_gray,512x512,1.549355,3.996945,0.014192,0.327214,109.17,281.63
rgb_to_gray,1024x1024,6.852760,7.225380,0.033856,1.021657,202.41,213.42
rgb_to_gray,2048x2048,17.355232,12.988232,0.143968,3.697349,120.55,90.22
rgb_to_gray,4096x4096,72.480997,51.547089,0.553968,14.624551,130.84,93.05
gaussian5x5_tiled,256x256,4.435558,3.972294,0.014272,0.065814,310.79,278.33
gaussian5x5_naive,256x256,4.435558,3.972294,0.016128,0.064016,275.02,246.30
gaussian5x5_tiled,512x512,15.606116,31.987442,0.053248,0.223017,293.08,600.73
gaussian5x5_naive,512x512,15.606116,31.987442,0.067008,0.245150,232.90,477.37
gaussian5x5_tiled,1024x1024,63.627171,62.550445,0.183712,0.785450,346.34,340.48
gaussian5x5_naive,1024x1024,63.627171,62.550445,0.237376,0.838739,268.04,263.51
gaussian5x5_tiled,2048x2048,255.549890,241.230267,0.723984,2.522524,352.98,333.20
gaussian5x5_naive,2048x2048,255.549890,241.230267,0.611712,2.466882,417.76,394.35
gaussian5x5_tiled,4096x4096,1022.295052,956.553261,2.860400,8.061997,357.40,334.41
gaussian5x5_naive,4096x4096,1022.295052,956.553261,2.488592,8.299405,410.79,384.38
equalize_hist,256x256,0.076643,0.067264,0.016384,0.063417,4.68,4.11
equalize_hist,512x512,0.537436,0.265689,0.028624,0.208591,18.78,9.28
equalize_hist,1024x1024,2.168717,4.963423,0.076752,0.665941,28.26,64.67
equalize_hist,2048x2048,8.802507,4.226346,0.239712,2.093694,36.72,17.63
equalize_hist,4096x4096,20.495965,16.982662,0.833600,7.624019,24.59,20.37
resize_bilinear,4096x4096->1024x1024,26.806090,41.847690,0.173760,11.233242,154.27,240.84
rgb_to_gray_batch100,1024x1024,5.964303,6.784844,0.027743,1.077081,214.98,244.56
gaussian5x5_batch100,1024x1024,61.015877,70.972778,0.105484,0.683129,578.44,672.83
